id,date,borough,latitude,longitude,injured,killed,valid_coordinates
4692355,2024-01-03,BROOKLYN,40.70862,-73.95848,0,0,True
4692356,2024-01-02,UNKNOWN,,,0,0,False
4692357,2024-01-01,UNKNOWN,40.888596,-73.89068,0,0,True
4692359,2024-01-02,BRONX,40.82751,-73.92495,1,0,True
4692361,2024-01-01,BROOKLYN,40.60143,-73.91334,0,0,True
4692363,2024-01-01,BRONX,40.888092,-73.8614,0,0,True
4692368,2024-01-03,BRONX,40.883858,-73.855896,1,0,True
4692369,2024-01-02,BROOKLYN,40.629047,-74.01159,2,0,True
4692370,2024-01-02,BROOKLYN,40.624744,-74.029274,0,0,True
4692371,2024-01-02,BROOKLYN,40.627846,-74.01529,0,0,True
4692372,2024-01-02,UNKNOWN,,,2,0,False
4692373,2024-01-02,MANHATTAN,40.838127,-73.946526,1,0,True
4692376,2024-01-02,BRONX,40.890545,-73.84087,0,0,True
4692377,2024-01-03,BRONX,40.839596,-73.86957,0,0,True
4692378,2024-01-02,QUEENS,40.603497,-73.74514,0,0,True
4692379,2024-01-02,MANHATTAN,40.84623,-73.943085,0,0,True
4692380,2024-01-02,BRONX,40.872494,-73.88147,0,1,True
4692381,2024-01-01,UNKNOWN,40.689842,-73.850075,0,1,True
4692382,2024-01-02,UNKNOWN,40.59602,-73.74303,1,0,True
4692383,2024-01-02,BROOKLYN,40.694923,-73.98602,0,0,True
4692386,2024-01-03,BROOKLYN,40.629597,-74.00136,0,0,True
4692389,2024-01-03,BROOKLYN,40.674488,-73.93058,1,0,True
4692390,2024-01-03,BROOKLYN,40.677834,-74.00617,0,0,True
4692391,2024-01-02,QUEENS,40.606804,-73.75956,0,0,True
4692392,2024-01-02,UNKNOWN,40.718018,-73.99996,1,0,True
4692393,2024-01-03,QUEENS,40.727985,-73.8315,1,0,True
4692394,2024-01-03,UNKNOWN,40.725346,-73.77139,0,0,True
4692395,2024-01-03,UNKNOWN,40.716312,-73.81938,0,0,True
4692396,2024-01-03,UNKNOWN,40.617676,-73.9432,0,0,True
4692398,2024-01-03,QUEENS,40.74816,-73.87902,1,0,True
4692399,2024-01-03,QUEENS,40.75866,-73.876465,1,0,True
4692400,2024-01-03,QUEENS,40.748962,-73.89176,1,0,True
4692401,2024-01-03,UNKNOWN,40.75777,-73.854164,0,0,True
4692402,2024-01-02,UNKNOWN,40.870987,-73.84726,0,0,True
4692403,2024-01-02,UNKNOWN,40.763344,-73.75791,1,0,True
4692406,2024-01-03,QUEENS,40.761887,-73.767395,0,0,True
4692407,2024-01-02,MANHATTAN,40.758488,-73.97514,0,0,True
4692408,2024-01-02,UNKNOWN,40.762707,-73.98322,0,0,True
4692409,2024-01-03,QUEENS,40.774647,-73.78401,0,0,True
4692410,2024-01-03,MANHATTAN,40.758663,-73.98721,1,0,True
4692412,2024-01-03,MANHATTAN,40.758488,-73.97514,0,0,True
4692413,2024-01-02,UNKNOWN,40.761204,-73.75539,1,0,True
4692414,2024-01-02,QUEENS,40.751297,-73.73986,0,0,True
4692415,2024-01-02,QUEENS,40.7555,-73.792725,0,0,True
4692416,2024-01-02,QUEENS,40.766075,-73.74514,0,0,True
4692417,2024-01-03,QUEENS,40.752613,-73.7923,0,0,True
4692418,2024-01-02,UNKNOWN,40.763046,-73.768265,0,0,True
4692419,2024-01-03,QUEENS,40.76895,-73.74024,0,0,True
4692420,2024-01-02,UNKNOWN,,,0,0,False
4692421,2024-01-02,BROOKLYN,40.612934,-73.97268,1,0,True
4692422,2024-01-03,BROOKLYN,40.62193,-73.987366,0,0,True
4692423,2024-01-03,UNKNOWN,40.63082,-73.88636,1,0,True
4692424,2024-01-03,UNKNOWN,40.64609,-73.89691,1,0,True
4692425,2024-01-02,BROOKLYN,40.612934,-73.97268,1,0,True
4692426,2024-01-02,BROOKLYN,40.619396,-73.969574,0,0,True
4692427,2024-01-03,UNKNOWN,40.69922,-73.98687,0,0,True
4692428,2024-01-03,BROOKLYN,40.593323,-73.964645,0,0,True
4692430,2024-01-03,BROOKLYN,40.611477,-73.94883,1,0,True
