collision_index,severe_or_fatal,fatal,number_of_casualties,vulnerable_casualties,number_of_vehicles,speed_limit,rural,darkness,adverse_weather,wet_or_icy,junction_present,weekend,road_type_label,light_label,weather_label,surface_label,area_label,longitude,latitude
2023010473398,0,0,1,0,2,30,0,0,0,0,1,1,Single carriageway,Daylight,Fine no high winds,Dry,Urban,-0.295918,51.561859
2023010473403,0,0,1,1,2,30,0,0,0,0,0,1,Unknown,Daylight,Unknown,Unknown,Urban,-0.017506,51.578599
2023010473413,0,0,1,1,1,30,0,0,0,0,1,1,Single carriageway,Daylight,Fine no high winds,Dry,Urban,0.223301,51.612962
2023010473421,0,0,1,0,3,30,0,0,0,1,0,1,Dual carriageway,Daylight,Fine no high winds,Wet or damp,Urban,-0.352369,51.573096
2023010473429,1,0,1,1,2,30,0,1,1,1,0,1,One way street,Darkness - lights lit,Raining no high winds,Wet or damp,Urban,-0.224597,51.510165
2023010473449,0,0,1,1,1,30,0,0,0,0,1,1,Single carriageway,Daylight,Fine no high winds,Dry,Urban,-0.06988,51.520733
2023010473454,0,0,1,0,1,70,0,0,0,0,0,1,Dual carriageway,Daylight,Fine no high winds,Dry,Urban,-0.418337,51.548394
2023010473457,0,0,1,0,2,20,0,1,1,0,0,1,Unknown,Darkness - lights lit,Other,Dry,Urban,-0.211368,51.558352
2023010473487,1,0,1,1,1,20,0,0,0,0,0,1,Dual carriageway,Daylight,Fine no high winds,Dry,Urban,-0.207369,51.483897
2023010473510,0,0,1,1,1,20,0,1,0,1,0,1,Single carriageway,Darkness - lights lit,Fine no high winds,Wet or damp,Urban,0.107232,51.471983
2023010473512,0,0,1,0,2,30,0,1,0,0,0,1,Single carriageway,Darkness - lights lit,Fine no high winds,Dry,Urban,0.180849,51.565629
2023010473558,0,0,1,1,1,30,0,0,0,0,1,0,Single carriageway,Daylight,Fine no high winds,Dry,Urban,-0.210437,51.541261
2023010473608,0,0,1,0,2,20,0,0,0,0,0,0,Single carriageway,Daylight,Unknown,Unknown,Urban,-0.069948,51.396627
2023010473609,0,0,1,0,2,20,0,1,0,1,0,1,Unknown,Darkness - lights lit,Fine no high winds,Wet or damp,Urban,-0.237689,51.46442
2023010473620,0,0,1,0,2,20,0,0,0,0,1,0,Single carriageway,Daylight,Fine no high winds,Dry,Urban,-0.111296,51.387795
2023010473622,0,0,1,0,2,30,0,0,0,0,0,0,Single carriageway,Daylight,Fine no high winds,Dry,Urban,-0.064925,51.36167
2023010473630,0,0,1,1,2,20,0,1,1,1,1,0,One way street,Darkness - lights lit,Other,Wet or damp,Urban,-0.141689,51.508782
2023010473641,0,0,1,1,2,20,0,0,0,0,1,0,Single carriageway,Daylight,Fine no high winds,Dry,Urban,-0.196526,51.554258
2023010473653,1,0,2,0,2,20,0,0,0,0,1,0,Single carriageway,Daylight,Fine no high winds,Dry,Urban,-0.214717,51.475358
2023010473657,1,0,1,1,1,30,0,1,0,0,1,0,Single carriageway,Darkness - lights lit,Fine no high winds,Dry,Urban,-0.412194,51.512306
2023010473673,1,0,1,1,1,30,0,1,1,1,1,0,Single carriageway,Darkness - lights lit,Raining no high winds,Wet or damp,Urban,0.149653,51.540233
2023010473679,0,0,1,0,2,20,0,0,0,0,1,0,Slip road,Daylight,Fine no high winds,Dry,Urban,0.188067,51.559092
2023010473687,0,0,1,0,2,20,0,1,0,1,1,0,Single carriageway,Darkness - lights lit,Fine no high winds,Wet or damp,Urban,-0.098319,51.550846
2023010473697,0,0,2,0,2,30,0,1,0,0,0,0,Single carriageway,Darkness - lights lit,Fine no high winds,Dry,Urban,-0.141255,51.59093
2023010473703,0,0,1,1,2,30,0,1,1,1,0,0,Single carriageway,Darkness - lights lit,Raining no high winds,Wet or damp,Urban,-0.381126,51.488241
2023010473704,0,0,1,1,2,20,0,0,0,0,1,0,Unknown,Daylight,Fine no high winds,Dry,Urban,-0.186702,51.415955
2023010473708,0,0,1,0,2,20,0,0,0,0,1,0,One way street,Daylight,Fine no high winds,Dry,Urban,-0.285637,51.527556
2023010473724,0,0,1,0,2,30,0,0,0,0,0,1,Unknown,Daylight,Unknown,Unknown,Urban,-0.034521,51.676571
2023010473741,0,0,1,0,2,30,0,0,0,0,1,0,Unknown,Daylight,Unknown,Unknown,Urban,-0.100901,51.398283
2023010473743,1,0,1,1,2,30,0,1,1,1,1,0,Slip road,Darkness - lights lit,Raining no high winds,Wet or damp,Urban,-0.13186,51.451001
2023010473754,0,0,1,1,3,20,0,1,0,0,1,0,One way street,Darkness - lights lit,Fine no high winds,Dry,Urban,-0.123185,51.506707
2023010473755,0,0,1,0,2,30,0,0,0,0,1,1,Unknown,Daylight,Unknown,Unknown,Urban,-0.064772,51.61329
2023010473801,0,0,1,0,2,30,0,0,0,0,1,0,Unknown,Daylight,Unknown,Unknown,Urban,-0.191705,51.472829
2023010473825,0,0,1,0,2,20,0,0,0,0,1,0,Single carriageway,Daylight,Fine no high winds,Dry,Urban,-0.162684,51.549282
2023010473844,0,0,1,0,2,30,0,1,0,1,1,0,One way street,Darkness - lights lit,Fine no high winds,Wet or damp,Urban,0.08376,51.592231
2023010473861,0,0,1,1,2,20,0,0,0,1,0,0,Roundabout,Daylight,Fine no high winds,Wet or damp,Urban,-0.075001,51.48919
2023010473864,1,0,3,0,3,30,0,1,0,0,1,0,Dual carriageway,Darkness - lights lit,Fine no high winds,Dry,Urban,0.144756,51.567661
2023010473872,0,0,1,0,1,30,0,0,0,0,0,0,Single carriageway,Daylight,Fine no high winds,Dry,Urban,0.09065,51.552685
2023010473882,0,0,2,0,3,30,0,0,0,1,0,0,Single carriageway,Daylight,Fine no high winds,Wet or damp,Urban,-0.383095,51.601048
2023010473898,0,0,1,0,2,30,0,1,0,0,0,0,Single carriageway,Darkness - no lighting,Unknown,Unknown,Urban,-0.11662,51.392548
2023010473922,0,0,1,1,2,40,0,0,0,1,0,0,Roundabout,Daylight,Fine no high winds,Wet or damp,Urban,-0.223496,51.448046
2023010473943,0,0,1,1,1,30,0,0,0,0,1,0,One way street,Daylight,Fine no high winds,Dry,Urban,-0.047673,51.639813
2023010473951,0,0,1,0,2,20,0,0,0,1,1,0,Single carriageway,Daylight,Fine no high winds,Wet or damp,Urban,-0.405948,51.585094
2023010473960,0,0,1,0,2,30,0,0,0,0,0,0,Unknown,Daylight,Fine no high winds,Dry,Urban,0.046839,51.531749
2023010473963,0,0,1,1,1,30,0,0,0,0,1,0,Single carriageway,Daylight,Fine no high winds,Dry,Urban,-0.065485,51.626413
2023010473989,0,0,1,0,2,30,0,0,0,0,1,0,Single carriageway,Daylight,Fine no high winds,Dry,Urban,-0.162702,51.467154
2023010473992,0,0,1,0,2,20,0,0,0,0,0,0,One way street,Daylight,Fine no high winds,Dry,Urban,-0.062804,51.487731
