cluster_id,borough,hour,share
1,Bronx,7,0.0004137949753304736
1,Bronx,8,0.0008298748996646571
1,Bronx,9,0.0021097157577092034
1,Bronx,10,0.0012411838208114384
1,Bronx,11,0.0013841479214780315
1,Bronx,12,0.0015859440855530696
1,Bronx,13,0.0016960965685438134
1,Bronx,14,0.0010563453207864857
1,Bronx,15,0.000932058542605709
1,Bronx,16,0.0006160539526950538
1,Bronx,17,0.0004973228872072976
1,Bronx,18,0.000514077184958752
1,Bronx,19,0.0003697861873766968
1,Bronx,20,0.00030821298142905975
1,Bronx,21,0.00021238936483382968
1,Bronx,22,0.0002795405728773529
1,Bronx,23,0.0004045213977238905
1,Brooklyn,0,0.002281464596053032
1,Brooklyn,1,0.0012316206685924875
1,Brooklyn,2,0.0006604452461260102
